,0
0,1.0019313242026107
1,1.0019282102171103
2,1.001927571821982
3,1.0019276870373182
4,1.0019278290600766
5,1.0019278446823396
6,1.0019277874262245
7,1.0019277203380745
8,1.0019276655035358
9,1.0019276204090384
10,1.0019275796550566
11,1.0019275418662625
12,1.0019275072046498
13,1.0019274745821414
14,1.0019274416627575
15,1.0019274061824113
16,1.0019273667604482
17,1.0019273228417713
18,1.0019272743063672
19,1.0019272211973158
20,1.001927163636143
21,1.001927101832237
22,1.0019270361305574
23,1.0019269670868913
24,1.0019268955371106
25,1.0019268225942113
26,1.001926749538955
27,1.0019266776271827
28,1.0019266078918703
29,1.0019265410091034
30,1.0019264772614889
31,1.0019264165870998
32,1.0019263586793914
33,1.0019263030997494
34,1.001926249375974
35,1.0019261970735653
36,1.0019261458376483
37,1.0019260954104259
38,1.0019260456310537
39,1.0019259964263512
40,1.0019259477964821
41,1.001925899800317
42,1.0019258525404509
43,1.0019258061499585
44,1.001925760781042
45,1.0019257165943607
46,1.0019256737518107
47,1.0019256324097685
48,1.001925592714621
49,1.0019255548000547
50,1.0019255187848364
51,1.0019254847729575
52,1.0019254528530255
53,1.0019254231004766
54,1.0019253955779637
55,1.0019253703379025
56,1.0019253474239396
57,1.0019253268728885
58,1.0019253087167812
59,1.0019252929838562
60,1.001925279700095
61,1.0019252688901719
62,1.0019252605780347
63,1.0019252547874862
64,1.0019252515420305
65,1.001925250865226
66,1.0019252527802098
67,1.0019252573095907
68,1.001925264475019
69,1.0019252742967686
70,1.0019252867935684
71,1.0019253019817962
72,1.0019253198755067
73,1.0019253404861117
74,1.0019253638219898
75,1.001925389888194
76,1.0019254186870985
77,1.0019254502173702
78,1.0019254844741956
79,1.0019255214496692
80,1.0019255611326976
81,1.0019256035085222
82,1.001925648559533
83,1.0019256962648007
84,1.0019257466003222
85,1.0019257995392596
86,1.0019258550515784
87,1.0019259131042386
88,1.00192597366156
89,1.0019260366849791
90,1.0019261021328814
91,1.0019261699610844
92,1.001926240122474
93,1.001926312567213
94,1.0019263872426865
95,1.0019264640936387
96,1.0019265430619513
97,1.0019266240867706
98,1.0019267071047713
99,1.0019267920498338
100,1.001926878853364
101,1.0019269674439877
102,1.0019270577480983
103,1.001927149689353
104,1.0019272431891872
105,1.0019273381666365
106,1.0019274345383602
107,1.001927532218914
108,1.0019276311207437
109,1.0019277311539492
110,1.0019278322269192
111,1.0019279342460243
112,1.0019280371156944
113,1.0019281407386456
114,1.0019282450160345
115,1.001928349847299
116,1.0019284551304584
117,1.0019285607618933
118,1.0019286666370781
119,1.0019287726498658
120,1.0019288786931793
121,1.001928984658979
122,1.0019290904380644
123,1.0019291959207148
124,1.0019293009961043
125,1.0019294055532386
126,1.0019295094802783
127,1.0019296126652835
128,1.0019297149955984
129,1.0019298163589114
130,1.0019299166425477
131,1.0019300157337703
132,1.0019301135203609
133,1.0019302098902105
134,1.0019303047317107
135,1.0019303979335374
136,1.0019304893853247
137,1.001930578977229
138,1.0019306666004635
139,1.001930752147172
140,1.001930835510601
141,1.0019309165853456
142,1.0019309952672693
143,1.0019310714536243
144,1.0019311450435768
145,1.0019312159377316
146,1.0019312840386272
147,1.001931349250766
148,1.0019314114806137
149,1.0019314706371534
150,1.0019315266312716
151,1.0019315793765775
152,1.0019316287889435
153,1.0019316747869975
154,1.0019317172921958
155,1.0019317562287735
156,1.001931791523917
157,1.001931823107775
158,1.0019318509138377
159,1.001931874878632
160,1.00193189494237
161,1.001931911048215
162,1.0019319231432515
163,1.0019319311781014
164,1.0019319351070282
165,1.001931934888146
166,1.001931930483273
167,1.0019319218583305
168,1.0019319089832879
169,1.0019318918318967
170,1.0019318703824796
171,1.001931844617086
172,1.001931814522505
173,1.0019317800894871
174,1.0019317413131894
175,1.0019316981934223
176,1.0019316507341385
177,1.0019315989439375
178,1.0019315428358855
179,1.0019314824276924
180,1.0019314177415641
181,1.001931348804246
182,1.0019312756471328
183,1.001931198306185
184,1.0019311168222478
